family,rich,AM,EM,NM,OM,ER,UNK,AM.perc,EM.perc,NM.perc,OM.perc,ER.perc,UNK.perc,type.50,type.60,type.80,type.100,stem.age,r.e0,r.e05,r.e09,shannon
Balanopaceae,9,9,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,75.798067,0.0289878708560763,0.0212332316130713,0.00775463924300496,0
Balanophoraceae,45,0,0,44,0,0,1,0,0,0.977777777777778,0,0,0.0222222222222222,NM,NM,NM,MIX,37.510831,0.101481689109215,0.0835890363487055,0.0449576537925867,0
Balsaminaceae,488,487,0,0,0,0,1,0.997950819672131,0,0,0,0,0.00204918032786885,AM,AM,AM,MIX,45.042083,0.137434039315037,0.122090608218872,0.0867190119316325,0
Barbeuiaceae,1,0,0,0,0,0,1,0,0,0,0,0,1,UNK,UNK,UNK,UNK,47.400484,0,0,0,0
Barbeyaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,77.092391,0,0,0,0
Basellaceae,19,14,0,0,0,0,5,0.736842105263158,0,0,0,0,0.263157894736842,AM,AM,MIX,MIX,36.409964,0.0808690439563862,0.0632405210011756,0.0282785068719419,0
Bataceae,2,0,0,2,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,57.232018,0.0121111784064638,0.00708458520732511,0.00166532970765289,0
Begoniaceae,1601,1601,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,38.106467,0.193625499655917,0.175452133808898,0.133347559220971,0
Berberidaceae,755,739,0,0,0,0,16,0.978807947019868,0,0,0,0,0.0211920529801325,AM,AM,AM,MIX,124.400456,0.0532692400199001,0.0477079778197886,0.0348550386034958,0
Berberidopsidaceae,2,0,0,0,0,0,2,0,0,0,0,0,1,UNK,UNK,UNK,UNK,97.433843,0.00711402895767896,0.0041614401692866,0.000978204049739934,0
Betulaceae,234,0,234,0,0,0,0,0,1,0,0,0,0,EM,EM,EM,EM,32.795215,0.166345032815235,0.145339444598372,0.0972848127492533,0
Biebersteiniaceae,5,5,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,73.657286,0.0218503558824323,0.0149151882770716,0.00456807812089646,0
Bignoniaceae,852,844,0,2,0,0,6,0.990610328638498,0,0.00234741784037559,0,0,0.00704225352112676,AM,AM,AM,MIX,29.203711,0.23105236614721,0.207357632286244,0.152566549211286,0.016657657714843
Bixaceae,23,23,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,67.188807,0.0466669130757025,0.0369839376637243,0.0173116752884998,0
Blandfordiaceae,4,4,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,68.808243,0.0201472134831272,0.0133165837685196,0.00381297723976895,0
Bonnetiaceae,36,36,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,93.500477,0.0383262102337308,0.0312059448860809,0.0160863072043608,0
Boraginaceae,2686,1747,0,852,4,0,83,0.650409530900968,0,0.317200297840655,0.00148920327624721,0,0.0309009679821296,AM,AM,MIX,MIX,74.999004,0.105278843130813,0.096041721141464,0.0746219028501905,0.643141101649481
Boryaceae,12,12,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,106.090362,0.0234225485043401,0.0176434705435503,0.00699344719673383,0
Brassicaceae,4060,0,0,3991,0,0,69,0,0,0.983004926108374,0,0,0.0169950738916256,NM,NM,NM,MIX,69.248859,0.11998664487159,0.109980690759487,0.0867677466715754,0
Bromeliaceae,3320,1350,0,1968,0,0,2,0.406626506024096,0,0.592771084337349,0,0,0.000602409638554217,NM,MIX,MIX,MIX,85.592749,0.0947243797708908,0.0866296985135599,0.06785437098861,0.675699675941876
Brunelliaceae,60,60,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,70.027114,0.0584679894450898,0.0488057623453305,0.0275824791466233,0
Bruniaceae,92,83,0,0,0,0,9,0.902173913043478,0,0,0,0,0.0978260869565217,AM,AM,AM,MIX,93.547307,0.0483369187426105,0.0410428951481555,0.0247204916743056,0
Burmanniaceae,163,160,0,0,0,0,3,0.98159509202454,0,0,0,0,0.0184049079754601,AM,AM,AM,MIX,110.048574,0.0462863807831509,0.0400434016279416,0.0258513970732543,0
Burseraceae,649,638,0,7,0,0,4,0.983050847457627,0,0.0107858243451464,0,0,0.0061633281972265,AM,AM,AM,MIX,59.827346,0.108235332998126,0.096675275923651,0.0699783647152135,0.0598841217300932
Butomaceae,2,0,0,2,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,74.071953,0.00935775489219172,0.0054739357028721,0.00128672427206456,0
Buxaceae,122,122,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,124.728133,0.0385159380581224,0.0330241227519414,0.0206257575442671,0
Byblidaceae,7,0,0,7,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,43.457574,0.044777238348724,0.0318999482373289,0.0108152293371401,0
Cabombaceae,6,0,0,6,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,112.572432,0.0159165031561906,0.011128505853861,0.00360181530153106,0
Cactaceae,2233,1745,0,67,0,0,421,0.781459919390954,0,0.0300044782803403,0,0,0.188535602328706,AM,AM,MIX,MIX,27.526226,0.280136523322891,0.254971451555662,0.196632059572499,0.158210732221062
Calceolariaceae,281,279,0,0,0,0,2,0.99288256227758,0,0,0,0,0.00711743772241993,AM,AM,AM,MIX,38.708136,0.145663295936899,0.127848054744309,0.0869919396270198,0
Calophyllaceae,127,127,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,86.27198,0.0561501786148711,0.0482066492893715,0.0302539688174771,0
Calycanthaceae,10,10,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,108.800422,0.0211633838423352,0.0156685797803103,0.00589936945439784,0
Calyceraceae,56,56,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,49.089766,0.0819998141921302,0.0682403759527924,0.0381301914721205,0
Campanulaceae,2385,1964,0,1,414,0,6,0.823480083857442,0,0.000419287211740042,0.173584905660377,0,0.00251572327044025,AM,AM,AM,MIX,83.663676,0.0929549689320661,0.0846750556609288,0.0654780671258561,0.465815541664209
Campynemataceae,4,4,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,117.345735,0.0118137600920893,0.007808470685996,0.00223582275459343,0
Canellaceae,21,21,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,112.055662,0.0271697331788859,0.0213991442288599,0.00980416579635315,0
Cannabaceae,102,102,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,65.482177,0.0706294907282064,0.0601932004745305,0.0367572554638538,0
Cannaceae,12,12,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,67.555137,0.0367833855445812,0.0277077696830308,0.0109826932144239,0
Capparaceae,449,331,0,116,0,0,2,0.737193763919822,0,0.258351893095768,0,0,0.0044543429844098,AM,AM,MIX,MIX,77.110126,0.0791987149358601,0.0702385105972258,0.0495950958648432,0.572541493006978
Caprifoliaceae,857,778,0,0,0,0,79,0.90781796966161,0,0,0,0,0.0921820303383897,AM,AM,AM,MIX,91.355933,0.0739244589467198,0.0663498989050664,0.0488342647167578,0
Cardiopteridaceae,46,46,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,87.099283,0.0439572091137546,0.0362459978132095,0.0195724698702563,0
Caricaceae,47,43,0,0,0,0,4,0.914893617021277,0,0,0,0,0.0851063829787234,AM,AM,AM,MIX,62.738324,0.0613683528063335,0.0506557017740535,0.0274595572196207,0
Carlemanniaceae,5,5,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,50.094505,0.0321280330534078,0.0219307943789066,0.00671674940437505,0
Caryocaraceae,26,26,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,88.073512,0.0369929217540625,0.0295513330437463,0.014224060560857,0
Caryophyllaceae,2456,738,0,1670,0,0,48,0.300488599348534,0,0.679967426710098,0,0,0.0195439739413681,NM,NM,MIX,MIX,56.971443,0.137021091238062,0.124861664324726,0.0966688169278553,0.616253918309448
Casuarinaceae,91,52,39,0,0,0,0,0.571428571428571,0.428571428571429,0,0,0,0,AM,MIX,MIX,MIX,40.509869,0.111352112901596,0.0945113250425247,0.056840102173474,0.682908104700472
Celastraceae,1168,1096,0,32,0,0,40,0.938356164383562,0,0.0273972602739726,0,0,0.0342465753424658,AM,AM,AM,MIX,88.114389,0.0801577159365898,0.0723009811815426,0.0541130576785391,0.129025391917653
Centrolepidaceae,36,27,0,9,0,0,0,0.75,0,0.25,0,0,0,AM,AM,MIX,MIX,53.691922,0.0667422361683404,0.0543428252034688,0.0280131040340905,0.562335144618808
Cephalotaceae,1,0,0,1,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,70.027114,0,0,0,0
Ceratophyllaceae,4,0,0,4,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,190.540568,0.007275586378644,0.00480890102035465,0.00137694700515163,0
Cercidiphyllaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,103.553448,0.00669361758538398,0.00391551528161732,0.000920396004624828,0
Chloranthaceae,71,71,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,194.035832,0.0219685190776584,0.018468335984748,0.0107167914309757,0
Chrysobalanaceae,535,535,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,52.325787,0.120060626071348,0.106849553557806,0.0763746592834217,0
Circaeasteraceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,126.223926,0.00549140882022593,0.00321226823596157,0.000755088063132539,0
Cistaceae,201,0,200,0,0,0,1,0,0.995024875621891,0,0,0,0.00497512437810945,EM,EM,EM,MIX,49.167296,0.107862447999155,0.0938656564892497,0.0619216976610514,0
Cleomaceae,257,103,0,146,0,0,8,0.400778210116732,0,0.568093385214008,0,0,0.0311284046692607,NM,MIX,MIX,MIX,69.248859,0.08013238290172,0.0701789527587981,0.0473785599238199,0.678161119127079
Clethraceae,85,85,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,70.399418,0.063106363414685,0.0534265796869736,0.03182852575963,0
Clusiaceae,1047,1017,0,0,0,0,30,0.97134670487106,0,0,0,0,0.0286532951289398,AM,AM,AM,MIX,71.185027,0.0976846466725445,0.0879607966478827,0.0654584056176892,0
Colchicaceae,284,283,0,0,0,0,1,0.996478873239437,0,0,0,0,0.00352112676056338,AM,AM,AM,MIX,99.207819,0.0569408167128561,0.0499894267377121,0.0340455777585739,0
Columelliaceae,8,8,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,93.547307,0.0222287696820587,0.0160782543614673,0.00567229852017194,0
Combretaceae,480,459,0,0,0,0,21,0.95625,0,0,0,0,0.04375,AM,AM,AM,MIX,87.221799,0.0707826045172714,0.0628595162265091,0.0445963903643036,0
Commelinaceae,728,329,0,398,0,0,1,0.451923076923077,0,0.546703296703297,0,0,0.00137362637362637,NM,MIX,MIX,MIX,76.02555,0.0866853452319212,0.0775861082418833,0.0565599696312002,0.688636383853996
Asteraceae,32913,30786,142,220,0,0,1765,0.93537507975572,0.00431440464254246,0.00668428888281226,0,0,0.0536262267189257,AM,AM,AM,MIX,49.089766,0.211889846765324,0.197770472110121,0.164989813015059,0.0711120346520865
Connaraceae,267,255,0,0,0,0,12,0.955056179775281,0,0,0,0,0.0449438202247191,AM,AM,AM,MIX,61.578127,0.0907343066540535,0.0795386290322034,0.0538797773554091,0
Convolvulaceae,1296,1018,0,173,0,0,105,0.785493827160494,0,0.133487654320988,0,0,0.0810185185185185,AM,AM,MIX,MIX,56.240507,0.127435513284264,0.115124531216557,0.0866168085355765,0.414391259106289
Coriariaceae,16,16,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,34.313702,0.0808012123623321,0.0623676851741695,0.0267033481806817,0
Cornaceae,124,120,0,0,0,0,4,0.967741935483871,0,0,0,0,0.032258064516129,AM,AM,AM,MIX,NA,NA,NA,NA,0
Corsiaceae,27,27,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,117.345735,0.0280865501077166,0.022489588817312,0.0109158960524817,0
Corynocarpaceae,5,5,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,34.313702,0.0469036512712648,0.0320167229017758,0.00980576903713895,0
Costaceae,139,139,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,70.332801,0.0701589281668263,0.0604056028146719,0.0383125247744657,0
Crassulaceae,1481,515,0,868,0,0,98,0.347738014854828,0,0.586090479405807,0,0,0.0661715057393653,NM,MIX,MIX,MIX,89.629776,0.0814514231773579,0.0737255064131376,0.0558290618281302,0.660209635954702
Crossosomataceae,8,0,0,0,0,0,8,0,0,0,0,0,1,UNK,UNK,UNK,UNK,44.332045,0.0469060595260118,0.0339275437615448,0.0119694061273774,0
Ctenolophonaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,96.64388,0.00717217873040637,0.0041954556057576,0.000986199848395211,0
Cucurbitaceae,965,904,0,0,0,0,61,0.936787564766839,0,0,0,0,0.0632124352331606,AM,AM,AM,MIX,73.384899,0.0936449895684804,0.0842137379469933,0.0623946652927667,0
Cunoniaceae,245,228,0,1,0,0,16,0.930612244897959,0,0.00408163265306122,0,0,0.0653061224489796,AM,AM,AM,MIX,82.577537,0.0666193060534698,0.0582747382665629,0.0391722651406337,0.0280853074773292
Cupressaceae,166,160,0,0,0,0,6,0.963855421686747,0,0,0,0,0.036144578313253,AM,AM,AM,MIX,158.616807,0.0322285379780501,0.0278964550828262,0.0180447515938804,0
Curtisiaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,43.585557,0,0,0,0
Cycadaceae,92,92,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,158.290082,0.0285664680939962,0.024255798367666,0.0146094777046563,0
Cyclanthaceae,231,22,0,209,0,0,0,0.0952380952380952,0,0.904761904761905,0,0,0,NM,NM,NM,MIX,50.317102,0.108162384044331,0.0944726544685814,0.0631605101253237,0.314492201281411
Cymodoceaceae,16,0,0,16,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,32.71356,0.0847535004517937,0.0654183208277017,0.0280095083468187,0
Cynomoriaceae,1,0,0,1,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,NA,NA,NA,NA,0
Cyperaceae,5784,1917,0,3740,0,0,127,0.33143153526971,0,0.646611341632089,0,0,0.0219571230982019,NM,NM,MIX,MIX,48.67957,0.177956599942,0.163721176236105,0.130687688451286,0.640284574882385
Cyrillaceae,8,8,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,65.093448,0.0319454815433934,0.0231064330280411,0.0081517920369216,0
Cytinaceae,11,8,0,0,0,0,3,0.727272727272727,0,0,0,0,0.272727272727273,AM,AM,MIX,MIX,48.376105,0.0495677622826056,0.037038109397771,0.0143282965951877,0
Daphniphyllaceae,34,34,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,104.099331,0.0338749585683328,0.0274949017773176,0.014011761734564,0
Dasypogonaceae,16,1,0,15,0,0,0,0.0625,0,0.9375,0,0,0,NM,NM,NM,MIX,115.611843,0.023981874609851,0.01851078668036,0.00792557845370699,0.233791658706459
Datiscaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,37.004215,0.0187315737020754,0.0109572681952087,0.00257565738941699,0
Degeneriaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,53.387417,0.0129833436324508,0.00759476915896052,0.00178525549951827,0
Diapensiaceae,12,0,0,0,0,7,5,0,0,0,0,0.583333333333333,0.416666666666667,ER,MIX,MIX,MIX,72.52854,0.0342610874255569,0.0258078016860892,0.01022959161634,0
Dichapetalaceae,196,196,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,55.900687,0.0944194954031695,0.0821109148117991,0.0540319815057794,0
Didiereaceae,22,0,0,0,0,0,22,0,0,0,0,0,1,UNK,UNK,UNK,UNK,36.409964,0.0848955097389911,0.0670790840487841,0.0310739695180995,0
Dilleniaceae,219,166,0,0,0,0,53,0.757990867579909,0,0,0,0,0.242009132420091,AM,AM,MIX,MIX,118.158222,0.0456089439955901,0.0397812381248629,0.0264624880354106,0
Dioncophyllaceae,3,0,0,0,0,0,3,0,0,0,0,0,1,UNK,UNK,UNK,UNK,49.245253,0.0223089987712747,0.0140754110971863,0.00370231739481478,0
Dioscoreaceae,653,633,0,0,0,0,20,0.96937212863706,0,0,0,0,0.0306278713629403,AM,AM,AM,MIX,110.048574,0.0588974204179732,0.0526127687115442,0.0380984533515442,0
Dipentodontaceae,21,21,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,90.302246,0.0337148030373843,0.0265541044549254,0.0121659464446555,0
Dipterocarpaceae,147,0,145,0,0,0,2,0,0.986394557823129,0,0,0,0.0136054421768707,EM,EM,EM,MIX,42.020699,0.118761293970353,0.102427260746047,0.065378991297967,0
Dirachmaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,57.92395,0.0119665040205294,0.00699995611673866,0.00164543646979056,0
Doryanthaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,114.083568,0.00607578455610667,0.00355410612778314,0.000835441786010102,0
Droseraceae,189,0,0,189,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,75.877453,0.0690817470515206,0.0600162065482159,0.0393487369390284,0
Drosophyllaceae,1,0,0,1,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,62.052853,0,0,0,0
Ebenaceae,751,751,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,79.644274,0.0831372466495725,0.0744509158736244,0.0543759535090537,0
Ecdeiocoleaceae,3,3,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,49.553379,0.0221702800260727,0.0139878893134602,0.00367929615443489,0
Elaeagnaceae,108,107,0,0,0,0,1,0.990740740740741,0,0,0,0,0.00925925925925926,AM,AM,AM,MIX,57.923953,0.0808323842663884,0.0690249973386519,0.0424623789368055,0
Elaeocarpaceae,644,644,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,81.5244,0.0793345148949806,0.0708512192206974,0.0512606291647947,0
Elatinaceae,57,28,0,29,0,0,0,0.491228070175439,0,0.508771929824561,0,0,0,NM,MIX,MIX,MIX,93.861101,0.0430748331817943,0.0358753071731651,0.0201049170415376,0.692993279158876
Emblingiaceae,1,0,0,1,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,NA,NA,NA,NA,0
Ephedraceae,70,70,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,261.824806,0.0162264810082562,0.0136332868952126,0.00789406775870188,0
Ericaceae,3554,16,162,1,0,3198,177,0.00450196961170512,0.0455824423185143,0.00028137310073157,0,0.899831176139561,0.0498030388294879,ER,ER,ER,MIX,65.093448,0.125601412429629,0.114957240576308,0.090266735795157,0.225036084366269
Eriocaulaceae,1206,1164,0,40,0,0,2,0.965174129353234,0,0.033167495854063,0,0,0.00165837479270315,AM,AM,AM,MIX,82.039617,0.0864833922528811,0.0780445627938217,0.0585072729286462,0.1457716545268
Erythroxylaceae,267,267,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,89.428533,0.0624772482670631,0.0547682002113454,0.037100192314718,0
Escalloniaceae,55,55,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,97.414613,0.0411368793841276,0.0342064132634311,0.0190556419945499,0
Eucommiaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,76.404063,0,0,0,0
Euphorbiaceae,6547,6486,0,3,0,0,58,0.990682755460516,0,0.000458225141286085,0,0,0.00885901939819765,AM,AM,AM,MIX,99.985196,0.0878806319331623,0.0809496613671796,0.064865111099744,0.00401249201567082
Euphroniaceae,4,3,0,0,0,0,1,0.75,0,0,0,0,0.25,AM,AM,MIX,MIX,52.325787,0.026493521466192,0.0175112651793303,0.00501405290793793,0
Eupomatiaceae,3,3,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,70.05683,0.0156817299422213,0.00989407000801985,0.00260248082583746,0
